,zip_code_crime_map,OFNS_DESC,crime_rate,rank
23,11212,1317,5.882352941176471,1
18,11207,1165,5.2034481218455495,2
17,11206,1099,4.908660502925544,3
19,11208,990,4.421814283800081,4
12,11201,943,4.21188976729644,5
37,11226,937,4.185090892849167,6
27,11216,858,3.8322390459600695,7
43,11233,852,3.8054401715127963,8
31,11220,832,3.7161105900218856,9
32,11221,773,3.452588324623699,10
35,11224,741,3.309660994238242,11
24,11213,714,3.1890660592255125,12
22,11211,680,3.0372057706909645,13
46,11236,677,3.0238063334673275,14
14,11203,658,2.9389432310509624,15
28,11217,641,2.8630130867836883,16
44,11234,626,2.7960159006655054,17
45,11235,530,2.367233909509134,18
48,11238,518,2.3136361606145877,19
20,11209,501,2.2377060163473135,20
36,11225,475,2.1215775604091296,21
39,11229,457,2.0411809370673097,22
47,11237,435,1.942918397427308,23
25,11214,434,1.9384519183527624,24
21,11210,422,1.8848541694582162,25
41,11231,421,1.8803876903836705,26
34,11223,403,1.7999910670418509,27
16,11205,386,1.724060922774577,28
26,11215,345,1.5409352807182097,29
30,11219,322,1.4382062620036624,30
33,11222,310,1.3846085131091161,31
40,11230,306,1.366742596810934,32
42,11232,297,1.3265442851400242,33
53,11249,288,1.2863459734691143,34
29,11218,266,1.1880834338291124,35
15,11204,265,1.183616954754567,36
49,11239,247,1.1032203314127473,37
38,11228,187,0.8352315869400152,38
54,11385,19,0.08486310241636517,39
11,10474,12,0.05359774889454643,40
50,11242,6,0.026798874447273215,41
51,11243,5,0.02233239537272768,42
57,11421,5,0.02233239537272768,42
8,10301,4,0.017865916298182145,44
55,11416,4,0.017865916298182145,44
1,10003,3,0.013399437223636608,46
2,10005,2,0.008932958149091072,47
13,11202,1,0.004466479074545536,53
10,10465,1,0.004466479074545536,53
9,10460,1,0.004466479074545536,53
7,10032,1,0.004466479074545536,53
6,10025,1,0.004466479074545536,53
5,10018,1,0.004466479074545536,53
4,10012,1,0.004466479074545536,53
52,11245,1,0.004466479074545536,53
3,10007,1,0.004466479074545536,53
56,11417,1,0.004466479074545536,53
0,10001,1,0.004466479074545536,53
